model,beta,se,pval,ci_lower,ci_upper,pct_of_total
HMGCR -> calcium (total),0.18542888097995905,0.019853982986212722,9.667015603278884e-21,0.14651507432698213,0.22434268763293597,100
Albumin-mediated / indirect (two-step a*b),-0.022083379049013255,0.009805345204296663,0.02431104956201182,-0.04130185564943471,-0.002864902448591798,-11.9
HMGCR -> calcium DIRECT (two-step: total-indirect),0.2075122600289723,0.02214329322824967,7.161956314504332e-21,0.16411140530160295,0.25091311475634165,111.9
HMGCR -> calcium direct (MVMR — UNRELIABLE for cis),0.11236925582329767,0.03168384311276221,3.902675615942681e-4,0.050268923322283735,0.1744695883243116,60.6
