outcome,exposure,method,nsnp,b,se,pval
Calcium (MGI-BioVU LabWAS),Total Cholesterol (UK Biobank),Inverse variance weighted (multiplicative random effects),280,0.06451097970308695,0.0187437705300958,5.780088723057755e-4
Calcium (MGI-BioVU LabWAS),Total Cholesterol (UK Biobank),Inverse variance weighted (fixed effects),280,0.06451097970308695,0.014905153543274518,1.5040188618361534e-5
Calcium (MGI-BioVU LabWAS),Total Cholesterol (UK Biobank),Robust adjusted profile score (RAPS),280,0.06155225592925034,0.018618974477036348,9.467571196948205e-4
Calcium (MGI-BioVU LabWAS),Total Cholesterol (UK Biobank),MR Egger,280,0.03758137543529375,0.030393755926894504,0.21732253641611765
Calcium (MGI-BioVU LabWAS),Total Cholesterol (UK Biobank),Weighted median,280,0.053730108781016354,0.026329035444451383,0.0412789700692284
Calcium (MGI-BioVU LabWAS),Total Cholesterol (UK Biobank),Weighted mode,280,0.05516288955980498,0.0258010571267015,0.033384867734521234
Calcium (MGI-BioVU LabWAS),Total Cholesterol (UK Biobank),MR-PRESSO (Raw),280,0.06193824708212088,0.018511700675357963,9.306166286030131e-4
Calcium (MGI-BioVU LabWAS),Total Cholesterol (UK Biobank),MR-PRESSO (Outlier-corrected),280,0.05651761016038555,0.018206169474306602,0.0021018564028116096
