outcome,exposure,method,nsnp,b,se,pval
Calcium (MGI-BioVU LabWAS),Total Cholesterol (UK Biobank),IVW-RE,280,0.06451097970308695,0.0187437705300958,5.780088723057755e-4
Calcium (MGI-BioVU LabWAS),Total Cholesterol (UK Biobank),IVW-FE,280,0.06451097970308695,0.014905153543274518,1.5040188618361534e-5
Calcium (MGI-BioVU LabWAS),Total Cholesterol (UK Biobank),Weighted median,280,0.053730108781016354,0.025960728013720583,0.038483370453806134
Calcium (MGI-BioVU LabWAS),Total Cholesterol (UK Biobank),MR Egger,280,0.03758137543529375,0.030393755926894504,0.21732253641611765
Calcium (MGI-BioVU LabWAS),Total Cholesterol (UK Biobank),Weighted mode,280,0.05516288955980498,0.028667698648352082,0.05534433685715723
Calcium (MGI-BioVU LabWAS),Total Cholesterol (UK Biobank),MR-PRESSO (Raw),280,0.06193824708212088,0.018511700675357963,9.306166286030131e-4
Calcium (MGI-BioVU LabWAS),Total Cholesterol (UK Biobank),MR-PRESSO (Corrected),280,0.062275355539422546,0.018255912175042584,7.412863896394043e-4
Calcium (MGI-BioVU LabWAS),Total Cholesterol (UK Biobank),MR-RAPS,280,0.06155225592744096,0.01861897448208574,9.467571230523895e-4
Calcium (MGI-BioVU LabWAS),Total Cholesterol (UK Biobank),MR-CAUSE,280,0.05046100246116248,0.022959183673469392,NA
