outcome,exposure,method,nsnp,b,se,pval
LDL Cholesterol (MGI-BioVU LabWAS),Calcium (UK Biobank),IVW-RE,275,-0.001087854604217385,0.03832134210754955,0.977352937539125
LDL Cholesterol (MGI-BioVU LabWAS),Calcium (UK Biobank),IVW-FE,275,-0.001087854604217385,0.025757861007068387,0.9663122483264747
LDL Cholesterol (MGI-BioVU LabWAS),Calcium (UK Biobank),Weighted median,275,-0.05986478273852861,0.048415595118701665,0.21628121068101727
LDL Cholesterol (MGI-BioVU LabWAS),Calcium (UK Biobank),MR Egger,275,-0.06592242072436665,0.08060789267236562,0.4141754822742638
LDL Cholesterol (MGI-BioVU LabWAS),Calcium (UK Biobank),Weighted mode,275,-3.8379406955972584e-4,0.06357903717536494,0.9951880016030695
LDL Cholesterol (MGI-BioVU LabWAS),Calcium (UK Biobank),MR-PRESSO (Raw),275,6.813855498931393e-4,0.038256824285652496,0.9858026385727071
LDL Cholesterol (MGI-BioVU LabWAS),Calcium (UK Biobank),MR-PRESSO (Corrected),275,-0.0016373119918956776,0.029471614779366304,0.9557368056389093
LDL Cholesterol (MGI-BioVU LabWAS),Calcium (UK Biobank),MR-RAPS,275,-0.004418049222078614,0.0327750241614183,0.8927705856579283
LDL Cholesterol (MGI-BioVU LabWAS),Calcium (UK Biobank),MR-CAUSE,275,0.01150154517052588,0.04336734693877551,NA
