Instrument,num_snps,N,cumulative_R2,mean_F,median_F,mean_maf,mean_beta,overall_F
Serum Calcium,277,385066,0.06383648844245107,88.84670273367871,54.59161445642173,0.36708631949458487,0.02598736462093863,94.72378204670868
LDL-Cholesterol,236,420607,0.08861631524956197,158.31756607203243,51.14020833513465,0.34286653855932203,0.03213343220338983,173.19372369190336
Total Cholesterol,285,420607,0.09721884211094334,143.76725777203714,53.492500950645514,0.3497575747368421,0.03012659649122807,158.819632475174
