outcome,exposure,method,nsnp,b,se,pval
Total Cholesterol (MGI-BioVU LabWAS),Calcium (UK Biobank),Inverse variance weighted (multiplicative random effects),275,0.032309563363227975,0.03794539118727927,0.3945053781345162
Total Cholesterol (MGI-BioVU LabWAS),Calcium (UK Biobank),Inverse variance weighted (fixed effects),275,0.032309563363227975,0.0249608615351749,0.19552418985102973
Total Cholesterol (MGI-BioVU LabWAS),Calcium (UK Biobank),MR Egger,275,0.012427707076561795,0.08064169050281812,0.8776367086079577
Total Cholesterol (MGI-BioVU LabWAS),Calcium (UK Biobank),Weighted median,275,0.010951745423981259,0.05478311833074821,0.8415502236686808
Total Cholesterol (MGI-BioVU LabWAS),Calcium (UK Biobank),Weighted mode,275,0.01825767232107489,0.060451423818864695,0.7628642534032223
