outcome,exposure,method,nsnp,b,se,pval
Calcium (MGI-BioVU LabWAS),LDL Cholesterol (UK Biobank),IVW-RE,232,0.05328244135165337,0.019368537105742656,0.005941742870690948
Calcium (MGI-BioVU LabWAS),LDL Cholesterol (UK Biobank),IVW-FE,232,0.05328244135165337,0.015318791927266892,5.047170054821939e-4
Calcium (MGI-BioVU LabWAS),LDL Cholesterol (UK Biobank),Weighted median,232,0.05490734385724091,0.024564869845867424,0.0254043636734244
Calcium (MGI-BioVU LabWAS),LDL Cholesterol (UK Biobank),MR Egger,232,0.05017294568308376,0.02885836024737542,0.08344451758594464
Calcium (MGI-BioVU LabWAS),LDL Cholesterol (UK Biobank),Weighted mode,232,0.05527702646388676,0.0217065065615692,0.011529408716132863
Calcium (MGI-BioVU LabWAS),LDL Cholesterol (UK Biobank),MR-PRESSO (Raw),232,0.05138257647784025,0.019164281992294706,0.007856620760994254
Calcium (MGI-BioVU LabWAS),LDL Cholesterol (UK Biobank),MR-PRESSO (Corrected),232,0.052631679436685716,0.018704545567181437,0.00531351840119475
Calcium (MGI-BioVU LabWAS),LDL Cholesterol (UK Biobank),MR-RAPS,232,0.05456480155850956,0.018989938096527798,0.004061396320321696
Calcium (MGI-BioVU LabWAS),LDL Cholesterol (UK Biobank),MR-CAUSE,232,0.04266012952295269,0.01785714285714286,NA
