arm,model,elpd_rel_null,weight
overlapping,null,0,0.10331192777646005
overlapping,sharing,0.4226783699251191,0.15765848506738137
overlapping,causal,1.9675851200918657,0.7390295871561585
overlap-free,null,0,0.34151856822435106
overlap-free,sharing,-0.25929092656315184,0.2635152190226504
overlap-free,causal,0.14539817383001913,0.3949662127529985
