method,arm,threshold,b,se,lci,uci,pval,n_pleiotropic,n_iv
MRBEE,overlapping,5e-8,-0.07145432534856519,0.021576685110510706,-0.11374462816516617,-0.029164022531964207,9.27490992114025e-4,7,443
MRBEE,overlapping,5e-5,-0.050971942214963886,0.01948389755057817,-0.0891603814140971,-0.012783503015830672,0.008893892996468814,12,948
MRBEE,overlap-free,5e-8,-0.036559245665443336,0.01949370626915778,-0.07476690995299258,0.0016484186221059072,0.06073243389851685,2,75
MRBEE,overlap-free,5e-5,-0.03324441365132678,0.016350195321773373,-0.06529079648200259,-0.0011980308206509666,0.0420249311391411,3,164
