exposure,survival,n_snp,method,b,se,p,mean_F,egger_int_p,b_wmedian,b_egger,post_mean,post_sd,p_out_rope,p_direction
AD — Bellenguez 2022 (proxy-incl.),"Parental lifespan (combined, Martingale resid)",54,Inverse variance weighted,0.03506198974793536,0.005470321081918105,1.4600346456737657e-10,87.91430229412651,3.389227781979083e-4,0.04162687032769911,0.06091046768466195,0.035057793412416154,0.005469993719014497,0.9999976857094353,0.9999999999268144
AD — Bellenguez 2022 (proxy-incl.),Combined parental age at death,54,Inverse variance weighted,-0.021314768903368416,0.007676293110049391,0.005491371036497137,87.91430229412651,0.002981559955194133,-0.037486664623886445,-0.05196380718973404,-0.02130974615563333,0.007675388611490785,0.9297155310798909,0.9972515496229575
AD — Bellenguez 2022 (proxy-incl.),Father's age at death,54,Inverse variance weighted,-0.011898839464589746,0.00557714735457776,0.032883796545978804,87.91430229412651,6.669647137978476e-4,-0.013385619866761317,-0.03705821303508767,-0.011897359215495182,0.005576800437379811,0.633199026671492,0.9835526634310826
AD — Bellenguez 2022 (proxy-incl.),Mother's attained age,54,Inverse variance weighted,0.032365752870646344,0.004848818821211581,2.472713724143173e-11,87.91430229412651,0.07806034899564677,0.035809238031039754,0.04416275192244814,0.0323627093463178,0.004848590835707058,0.9999980079297565,0.9999999999876099
AD — Kunkle 2019 IGAP (clinical),"Parental lifespan (combined, Martingale resid)",16,Inverse variance weighted,0.04269388451068071,0.0036882427169716158,5.474123029274544e-31,313.4581764535848,0.0025273129408606215,0.04632624001100498,0.05035528028742797,0.04269156155449279,0.0036881423777440714,1,1
AD — Kunkle 2019 IGAP (clinical),Combined parental age at death,16,Inverse variance weighted,-0.030230745816148544,0.004577212101961338,3.9853873513314816e-11,313.4581764535848,0.0016446358440989923,-0.035378020174233346,-0.039990685984445405,-0.03022821258666387,0.004577020320858042,0.9999950538803406,0.9999999999800359
AD — Kunkle 2019 IGAP (clinical),Father's age at death,16,Inverse variance weighted,-0.01727072701752445,0.0030252991500024215,1.1379775684575733e-8,313.4581764535848,0.0025721049752927437,-0.021536009201502657,-0.02475052567038855,-0.017270094763849032,0.0030252437738155663,0.9918725951995042,0.9999999943066183
AD — Kunkle 2019 IGAP (clinical),Mother's attained age,16,Inverse variance weighted,0.0410382181222568,0.0026986461053794507,3.179430507129334e-52,313.4581764535848,0.019375356633579307,0.04389025940180252,0.04565442865958622,0.04103702268246626,0.002698606799427868,1,1
