method,arm,C_setting,exposure,outcome,b,se,lci,uci,pval,n_iv,n_valid_iv,pi0,iv_signal,threshold,tau2,sigma2
MR-APSS,overlapping,corrected,"LDL-C (GLGC 2021, EUR)","Heel eBMD (Morris 2019, UKB)",-0.0560831527534663,0.02651066908525083,-0.10804406416055792,-0.004122241346374671,0.034388,948,412.0363729960445,0.4346354343738589,0.04007704208558153,5e-5,2.50171883045891e-7,9.451781909746716e-7
MR-APSS,overlapping,uncorrected,"LDL-C (GLGC 2021, EUR)","Heel eBMD (Morris 2019, UKB)",-0.0516956589696887,0.026152493543144494,-0.10295454631425191,-4.367716251254955e-4,0.048075,948,427.4945175132378,0.4509432467139139,0.040488562109803644,5e-5,2.714243612514446e-7,9.14277187819974e-7
MR-APSS,overlap-free,corrected,"LDL-C (GLGC 2013, pre-UKB)","Heel eBMD (Morris 2019, UKB)",-0.03747800615741469,0.018689179534096663,-0.07410879804424414,-8.472142705852267e-4,0.044928,164,129.2384250651215,0.7880108780714261,0.0586332973585077,5e-5,1.1511076242231534e-7,2.536794479445795e-6
MR-APSS,overlap-free,uncorrected,"LDL-C (GLGC 2013, pre-UKB)","Heel eBMD (Morris 2019, UKB)",-0.03607879006584335,0.018365088379661342,-0.07207436328997958,-8.321684170711774e-5,0.049469,164,129.83731730920692,0.791660287002086,0.05872765125600637,5e-5,1.2892199036154504e-7,2.52365772451e-6
