arm,model1,model2,delta_elpd,se_delta_elpd,z
overlapping,null,sharing,-0.4226783699251191,1.1206992202114165,-0.3771559418461825
overlapping,null,causal,-1.9675851200918657,2.4446686575148258,-0.8048473620519403
overlapping,sharing,causal,-1.5449067501667466,1.5313539373982303,-1.0088502157715038
overlap-free,null,sharing,0.25929092656315184,0.829099604014411,0.3127379693678457
overlap-free,null,causal,-0.14539817383001913,1.7545415969328677,-0.08286960769935074
overlap-free,sharing,causal,-0.40468910039317096,1.279664411213518,-0.3162462727313018
