arm,exposure,outcome,C11,C22,C12,overlap_flag,Omega11,Omega22,Omega12,rg
overlapping,"LDL-C (GLGC 2021, EUR)","Heel eBMD (Morris 2019, UKB)",1.1604477421443258,1.5137010257131598,0.022633454394896824,TRUE,1.4173558857365895e-8,5.6953308427762696e-8,-1.0526738203322533e-9,-0.037050569499633215
overlap-free,"LDL-C (GLGC 2013, pre-UKB)","Heel eBMD (Morris 2019, UKB)",1.0011443835597271,1.517618492026972,-0.0074203056615339226,FALSE,1.9996836076600516e-8,5.6080974519779905e-8,-9.383159014204966e-10,-0.02801951780566137
