arm,model,param,q0.025,q0.05,q0.1,q0.25,q0.5,q0.75,q0.9,q0.95,q0.975
overlapping,causal,eta,-0.6474193980375083,-0.5759106827209212,-0.47225669259486364,-0.2705865596692811,-0.05025870058173377,0.12237748251051031,0.31789350940895605,0.45682616282809707,0.5554326161874452
overlapping,causal,gamma,-0.07927544107585004,-0.07502397066263299,-0.06726157362196772,-0.05223107070769418,-0.04029498097076883,-0.027874481430382198,-0.011933527320846491,-0.005760297779310269,-0.0026334316257480258
overlapping,causal,q,0.0011881434604472296,0.0023762869208944566,0.004871444854178685,0.013389139046611025,0.03373376357563034,0.07518527765791948,0.13801022359255488,0.18808792984995013,0.23765490903852607
overlap-free,causal,eta,-1.0843453305894477,-1.0061477230080287,-0.9210891427875181,-0.7593234866390369,-0.20197188722990891,0.023486385365025158,0.16567634711476859,0.27058173428501464,0.3771331962508179
overlap-free,causal,gamma,-0.05193703759366437,-0.04487984288045592,-0.03982087805590107,-0.031543237367657954,-0.021458874303904304,-0.012037696263301872,-0.0037738596930686754,0.0026524118361378676,0.007400412667555427
overlap-free,causal,q,0.0010811956577106633,0.002162391315421324,0.004161373735972886,0.009368322133484994,0.019715045648102166,0.04727525527820502,0.1071182319856594,0.15665004464211932,0.20655789592646798
