arm,model,weight_med,weight_lo,weight_hi
overlapping,causal,0.7143790005195461,0.01796137307494866,0.997258668596496
overlapping,null,0.08483175588821959,0.0010960930756714203,0.5742687925592528
overlapping,sharing,0.13985566785810497,0.0011412759050521456,0.829086998189247
overlap-free,causal,0.37727155892146125,0.0183304461520889,0.9546122749296367
overlap-free,null,0.29441821653912814,0.025046512168691075,0.7029681767396158
overlap-free,sharing,0.22735015996263008,0.014304139167247746,0.6971742802572384
