exposure,b,se,pval
Years of schooling || id:ieu-a-1239,0.02922352240629936,0.07641124246103029,0.7021271945910694
LDL cholesterol || id:ieu-b-110,-0.09388989760281409,0.04164130095289913,0.024150270687875095
Cigarettes smoked per day || id:ieu-b-142,-0.09162471964005751,0.041889216095424675,0.028719869200064994
body mass index || id:ieu-b-40,-0.08852787805141835,0.04142144167830108,0.03257785591524524
