locus,method,nsnp,b,se,pval,n_cis_selected
CHRNA5_A3_B4,LD-aware IVW,31,-0.10453098215374543,0.04600692332418659,0.02308224089792505,31
CHRNA5_A3_B4,LD-aware MR-Egger,31,-0.13303924582887772,0.048353605159961094,0.005934436966259282,31
CHRNA4,LD-aware IVW,4,-0.2563871236207597,0.14999155319811464,0.08738729425047123,4
CHRNA4,LD-aware MR-Egger,4,-0.43759902760294,0.2884218001635016,0.12921140746097337,4
CHRNB2,LD-aware IVW,2,-0.3264007476430795,0.19564508554224164,0.09525005104743743,2
CHRNA7,NA,0,NA,NA,NA,0
CHRNA6_B3,LD-aware IVW,6,-0.091657848699021785,0.15472097584681752,0.5535778223057959,6
CHRNA6_B3,LD-aware MR-Egger,6,-0.327064156103503,0.2624781684214376,0.21274151590623025,6
