exposure,id,note,nsnp,b,se,pval,or,ci_lo,ci_hi,status,selection_signature
education,ieu-a-1239,Lee 2018 EA (excl 23andMe),306,0.10576206697131932,0.05007561591440655,0.03468239662505544,1.1115573688289044,0.0076138597790824936,0.20391027416355614,ok,other
lung_cancer,ebi-a-GCST004748,McKay 2017 ILCCO,15,-0.07534236754238129,0.025895479845034625,0.003620311380720713,0.9274259114379478,-0.12609750803864916,-0.024587227046113422,ok,protective (SELECTION SIGNATURE)
CAD,ieu-a-7,Nikpay 2015,38,-0.11015443299256987,0.02113801047643372,1.8762148097994886e-7,0.8956957996322384,-0.15158493352637997,-0.06872393245875977,ok,protective (SELECTION SIGNATURE)
