gene,outcome,b,se,pval,orthogonal
CHRNB2,lifespan,-0.01005266467815219,0.01269928247820009,0.4285979580201276,TRUE
CHRNB2,lung_cancer,-0.03874318283678174,0.1306065798560991,0.7667410943662115,TRUE
CHRNB2,cad,0.08091061512717986,0.042906980553785126,0.05933249596453667,TRUE
