set,n_snp,n_fit,b_SH,se_SH,ci_lo,ci_hi
full (incl APOE + 15q25),2346,2261,-0.8631611959042876,0.07842753428600639,-1.0168791631048602,-0.7094432287037151
excl_APOE (PRIMARY),2335,2250,-0.9436362808421158,0.07014933427894021,-1.0811289760288387,-0.806143585655393
excl_APOE_15q25 (sensitivity),2333,2248,-0.9443534463560039,0.07392409538408339,-1.0892446733088073,-0.7994622194032005
