set,method,nsnp,b,se,pval
all SNPs,Inverse variance weighted (multiplicative random effects),22,-0.06484177124820706,0.06202843679566225,0.2958586680792282
all SNPs,Weighted median,22,-0.13376745539180163,0.0426215132973155,0.0016981716589083678
"outliers removed (CLU, MINDY2)",Inverse variance weighted (multiplicative random effects),20,-0.11276462878357063,0.03150608889667027,3.4472987521383386e-4
"outliers removed (CLU, MINDY2)",Weighted median,20,-0.13434911050384712,0.041200585247316054,0.001110770534718164
