slopehunter_set,nachr_set,b_SH,se_SH,n_fit,b_uncorr,b_corr,se_corr,ci_lo,ci_hi,p_corr
full (incl APOE + 15q25),pooled_nAChR,-0.8631611959042876,0.07842753428600639,2261,-0.12898885969318258,-0.00677317356318321,0.04165387317726705,-0.08841476499062664,0.07486841786426021,0.8708285895638415
full (incl APOE + 15q25),15q25_CHRNA5A3B4,-0.8631611959042876,0.07842753428600639,2261,-0.10453098215374544,0.00804558191910244,0.04858528943533248,-0.08718158537414922,0.1032727492123541,0.8684740476937604
excl_APOE (PRIMARY),pooled_nAChR,-0.9436362808421158,0.07014933427894021,2250,-0.12898885969318258,0.00462135826785295,0.04162062346068473,-0.07695506371508913,0.08619778025079504,0.9115883571908922
excl_APOE (PRIMARY),15q25_CHRNA5A3B4,-0.9436362808421158,0.07014933427894021,2250,-0.10453098215374544,0.01854142973844286,0.04864963791396464,-0.07681186057292784,0.11389472004981356,0.7031129914069327
excl_APOE_15q25 (sensitivity),pooled_nAChR,-0.944353446356004,0.07392409538408339,2248,-0.12898885969318258,0.00472290230825295,0.04175383894626919,-0.07711462202643467,0.08656042664294057,0.9099409624873328
excl_APOE_15q25 (sensitivity),15q25_CHRNA5A3B4,-0.944353446356004,0.07392409538408339,2248,-0.10453098215374544,0.01863496502456109,0.0487472183140331,-0.07690958287094378,0.11417951292006596,0.7022555378563524
excl_APOE (PRIMARY),canonical_20snp,-0.9436362808421158,0.07014933427894021,2250,-0.113,-0.012298337782800733,0.035703110038324826,-0.0822764334579174,0.05767975789231593,0.7304994356835789
