mechanism,method,nsnp,b,se,pval
nAChR_pharmacodynamic,Inverse variance weighted,4,-0.14920074216284385,0.04200279743375555,3.820795041559877e-4
nAChR_pharmacodynamic,MR Egger,4,-0.11961377407688364,0.0926430708767995,0.32576298523588443
nAChR_pharmacodynamic,Weighted median,4,-0.14463487822218574,0.04513505249695595,0.0013530142968014177
nicotine_metabolism,Inverse variance weighted,2,-0.11667945721169097,0.07550606170155962,0.12227390739340382
other_pleiotropic,Inverse variance weighted,12,-0.0051121825961594446,0.07544127520270064,0.9459737124930011
other_pleiotropic,MR Egger,12,8.712368865329897e-4,0.47193098589194904,0.9985633265232143
other_pleiotropic,Weighted median,12,0.0476945594292918,0.09750381204043108,0.6247313683027003
reward_behavioral,Inverse variance weighted,2,-0.13070618246755775,0.14822370218124173,0.37787576935129913
