set,b_clinical,se_clinical,b_proxymaj,z_diff,p_diff,metareg_slope,metareg_se,metareg_p
15q25_CHRNA5A3B4,-0.129706953074968,0.0592974540968292,-0.10453098215374543,0.33544637011203,0.7372883938008419,0.14002084614056207,0.027514849046752166,0.036512605580270904
CHRNA4,-0.1501759017596907,0.2791651575661255,-0.2563871236207597,-0.33514848889756027,0.7375130769668685,0.3085514174172222,0.1949804567422791,0.25436456079244413
canonical_20snp,-0.07654478817418817,0.048885250156685316,-0.11276462878357063,-0.6215067942776257,0.5342662255331356,0.1153694658380377,0.0531274969059282,0.1620328824521059
pooled_nAChR,-0.116905726269587,0.05164732314142765,-0.12898885969318258,-0.18718321030846988,0.8515169884116509,0.1456295042200112,0.050208926223872595,0.10115219041843992
