exposure,outcome,n_snps,beta,se,ci_lower,ci_upper,pval,egger_p
All LDL-C,Albumin,121,0.039135331352976706,0.030595710824512047,-0.020832261863066907,0.09910292456902031,0.20085772791500411,0.05546740721905528
HMGCR cis,Albumin,16,-0.0420077857542999,0.018593145324205113,-0.07845035058974192,-0.005565220918857881,0.023863751951207494,0.1935857219200252
All LDL-C,Phosphate,121,0.01316466930039581,0.0150381358062837,-0.016310076879920244,0.04263941548071186,0.38134598381999063,0.2701247523388556
HMGCR cis,Phosphate,16,0.02681169269973369,0.018802096355953042,-0.01004041615793427,0.06366380155740164,0.15386982667715357,0.5274067205635791
All LDL-C,Calcium,121,0.03881095622623996,0.02353851842272871,-0.007324539882308315,0.08494645233478823,0.09918298163218213,0.005800083652925425
HMGCR cis,Calcium,16,0.18542888097995905,0.019853982986212722,0.14651507432698213,0.22434268763293597,9.667015603278884e-21,0.8510408718175705
Albumin,Calcium,224,0.5256972880736236,0.018539924625418328,0.48935903580780366,0.5620355403394435,7.287769318997673e-177,0.17097055426343838
Phosphate,Calcium,173,-0.05115052825448842,0.05735001531643662,-0.16355655827470417,0.061255501765727347,0.37244607111636235,0.9283787864307038
