pathway,exposure,model,effect_type,n_snps,beta,se,ci_lower,ci_upper,pval,pct_mediated,pm_flag
HMGCR,Total cholesterol,Univariable (total),Total (chol->Ca),26,0.18230029149123386,0.012446338186540272,0.15790546864561494,0.20669511433685278,1.410003111284463e-48,NA,NA
HMGCR,Total cholesterol,MVMR (difference),Direct (chol->Ca | BMD),102,0.17572330996919439,0.028500323829599737,0.11986370171545024,0.23158291822293853,7.018970411703325e-10,3.6077734534811423,ok
HMGCR,Total cholesterol,Two-step (product a*b),Indirect (chol->BMD->Ca),308,8.856643802556399e-4,0.001187120731990639,-0.0014410922544460126,0.0032124210149572924,0.45563061799485977,0.485827188212822,ok
