outcome,exposure,method,nsnp,b,se,pval
Total Cholesterol (MGI-BioVU LabWAS),Calcium (UK Biobank),IVW-RE,275,0.032309563363227975,0.03794539118727927,0.3945053781345162
Total Cholesterol (MGI-BioVU LabWAS),Calcium (UK Biobank),IVW-FE,275,0.032309563363227975,0.0249608615351749,0.19552418985102973
Total Cholesterol (MGI-BioVU LabWAS),Calcium (UK Biobank),Weighted median,275,0.010951745423981259,0.05414684271918311,0.8397133966355754
Total Cholesterol (MGI-BioVU LabWAS),Calcium (UK Biobank),MR Egger,275,0.012427707076561795,0.08064169050281812,0.8776367086079577
Total Cholesterol (MGI-BioVU LabWAS),Calcium (UK Biobank),Weighted mode,275,0.01825767232107489,0.05742368232604056,0.7507675219552729
Total Cholesterol (MGI-BioVU LabWAS),Calcium (UK Biobank),MR-PRESSO (Raw),275,0.03754946445421195,0.03831994474553828,0.3279968337855167
Total Cholesterol (MGI-BioVU LabWAS),Calcium (UK Biobank),MR-PRESSO (Corrected),275,-0.009072668201809615,0.029798194011404194,0.7610049475502
Total Cholesterol (MGI-BioVU LabWAS),Calcium (UK Biobank),MR-RAPS,275,0.00854141737506273,0.033062570051436625,0.796143747267759
Total Cholesterol (MGI-BioVU LabWAS),Calcium (UK Biobank),MR-CAUSE,275,0.020434861237361986,0.03826530612244899,NA
