ENSEMBL.ID,term_main,estimate_main,std.error_main,statistic_main,p.value_main,p.adj_main,symbol,term_int,estimate_int,std.error_int,statistic_int,p.value_int,p.adj_int
ENSMUSG00000089943,chol2,0.27923100056381106,0.0668514003718026,4.176890820698328,6.558640193059026e-5,6.558640193059026e-5,Ugt1a5,chol2:sexM,-0.419067565335473,0.12779620982794265,-3.2791861816534396,0.0014605654052345595,0.0014605654052345595
ENSMUSG00000006567,chol2,0.044260480722768523,0.012562943749676593,3.5230978984450134,6.577078218191929e-4,6.577078218191929e-4,Atp7b,NA,NA,NA,NA,NA,NA
ENSMUSG00000028412,chol2,0.07806955278643685,0.023427835520470692,3.3323416804007144,0.0012282213376583844,0.0012282213376583844,Slc44a1,NA,NA,NA,NA,NA,NA
ENSMUSG00000024981,chol2,0.32618784005644164,0.09982805768386228,3.267496609915226,0.0015107748526420415,0.0015107748526420415,Acsl5,NA,NA,NA,NA,NA,NA
ENSMUSG00000025809,chol2,-0.05374341340144189,0.016495395436811992,-3.2580857856553873,0.001556511280997877,0.001556511280997877,Itgb1,NA,NA,NA,NA,NA,NA
ENSMUSG00000083863,chol2,1.84702488894323,0.5723718065757907,3.226966925560223,0.0017171365952365469,0.0017171365952365469,NA,NA,NA,NA,NA,NA,NA
ENSMUSG00000026238,chol2,-0.07806402486102237,0.024402196744792354,-3.1990572683863774,0.0018742424194271446,0.0018742424194271446,Ptma,NA,NA,NA,NA,NA,NA
ENSMUSG00000049940,chol2,0.048015461737340205,0.015530719893681339,3.091644306641269,0.002612625571758494,0.002612625571758494,Pgrmc2,NA,NA,NA,NA,NA,NA
ENSMUSG00000024066,chol2,0.1050513842883379,0.03410220604138216,3.080486469434286,0.0027031566378329865,0.0027031566378329865,Xdh,NA,NA,NA,NA,NA,NA
ENSMUSG00000090555,chol2,-1.3712531472806595,0.4456948177349099,-3.076663880117746,0.0027348356621136097,0.0027348356621136097,Gm8893,chol2:sexM,-2.370966766796322,0.865540621397547,-2.7392899976988208,0.007367136977783314,0.007367136977783314
ENSMUSG00000027605,chol2,0.33986367115899874,0.11160998201367486,3.045101029739055,0.0030098798029815845,0.0030098798029815845,Acss2,NA,NA,NA,NA,NA,NA
ENSMUSG00000025004,chol2,0.3327045681132881,0.10989137184952648,3.0275768016515276,0.0031734432736152903,0.0031734432736152903,Cyp2c40,chol2:sexM,-0.4324728655939738,0.21723129757149118,-1.9908405023988143,0.04940197917674707,0.04940197917674707
ENSMUSG00000042118,chol2,0.13287335988829757,0.04451042267056678,2.985219009752567,0.0036033626760382477,0.0036033626760382477,Bhmt2,NA,NA,NA,NA,NA,NA
ENSMUSG00000001525,chol2,-0.029043594510817707,0.009864672914220324,-2.9442024853099986,0.0040703751634882926,0.0040703751634882926,Tubb5,chol2:sexM,-0.047619607243898764,0.019291755907372265,-2.4683915488325834,0.01537943401329137,0.01537943401329137
ENSMUSG00000062397,chol2,-0.032476846738665126,0.011136458425129921,-2.9162634563767287,0.004419781195349934,0.004419781195349934,Zfp706,chol2:sexM,-0.0630738106896915,0.021511472460821905,-2.932101036066482,0.004228048395386029,0.004228048395386029
ENSMUSG00000017754,chol2,0.04247675431705354,0.014576591467073373,2.9140388830271475,0.004448756111665249,0.004448756111665249,Pltp,NA,NA,NA,NA,NA,NA
ENSMUSG00000003518,chol2,-0.04955650795069451,0.01719335316488801,-2.882306172358398,0.004881558326488596,0.004881558326488596,Dusp3,chol2:sexM,-0.07828786177536222,0.03374396500841942,-2.3200552085633297,0.02250196531628275,0.02250196531628275
ENSMUSG00000032012,chol2,0.03277711443773855,0.011391508314278776,2.8773287551968703,0.004952854140062432,0.004952854140062432,Nectin1,NA,NA,NA,NA,NA,NA
ENSMUSG00000027447,chol2,0.06777820295499047,0.02455494372715328,2.760267085443986,0.00693111040857117,0.00693111040857117,Cst3,NA,NA,NA,NA,NA,NA
ENSMUSG00000031311,chol2,0.02208806083942695,0.008007602531360033,2.758386265167866,0.006968091858206662,0.006968091858206662,Nono,NA,NA,NA,NA,NA,NA
ENSMUSG00000038884,chol2,0.06598158169566097,0.02393773305807079,2.7563838871289765,0.007007661204141927,0.007007661204141927,Shfl,NA,NA,NA,NA,NA,NA
ENSMUSG00000037071,chol2,10.070591436012204,3.672671701957208,2.7420342065002634,0.007297279211913992,0.007297279211913992,Scd1,chol2:sexM,-18.008887621573997,7.175015815554941,-2.5099439617306443,0.01378459013194747,0.01378459013194747
ENSMUSG00000027222,chol2,0.03862789633796703,0.014176112806133475,2.7248581375039693,0.007658264830234622,0.007658264830234622,Pex16,NA,NA,NA,NA,NA,NA
ENSMUSG00000004270,chol2,0.05172631309187039,0.019436375259045763,2.6613147977680027,0.009139471691827241,0.009139471691827241,Lpcat3,NA,NA,NA,NA,NA,NA
ENSMUSG00000010663,chol2,0.36952369174138777,0.1396610853782376,2.645860088661233,0.009536957027286352,0.009536957027286352,Fads1,NA,NA,NA,NA,NA,NA
ENSMUSG00000000673,chol2,0.21407324803289976,0.08172288287697843,2.6195019130095423,0.010251139344676101,0.010251139344676101,Haao,NA,NA,NA,NA,NA,NA
