ENSEMBL.ID,term_main,estimate_main,std.error_main,statistic_main,p.value_main,p.adj_main,symbol,term_int,estimate_int,std.error_int,statistic_int,p.value_int,p.adj_int
ENSMUSG00000025068,chol1,-5.901979536974468e-4,0.008929258098264045,-0.06609708748503847,0.9474455265161212,0.9474455265161212,Gsto1,NA,NA,NA,NA,NA,NA
ENSMUSG00000035828,chol1,8.711217787090116e-4,0.013184161225043326,0.06607335603984538,0.947464367883571,0.947464367883571,Pim3,NA,NA,NA,NA,NA,NA
ENSMUSG00000038160,chol1,3.452746238501246e-4,0.005243624444232888,0.06584655852496628,0.9476444332355887,0.9476444332355887,Atg5,NA,NA,NA,NA,NA,NA
ENSMUSG00000031029,chol1,5.034473637584333e-4,0.007772498047207016,0.06477291608189506,0.9484968858590674,0.9484968858590674,Eif3f,NA,NA,NA,NA,NA,NA
ENSMUSG00000028412,chol1,7.290194871942475e-4,0.011403517678951335,0.06392935125096312,0.9491667031256983,0.9491667031256983,Slc44a1,NA,NA,NA,NA,NA,NA
ENSMUSG00000039463,chol1,2.9666272867596847e-4,0.004648391131733599,0.06382051773800053,0.9492531230612653,0.9492531230612653,Slc9a8,NA,NA,NA,NA,NA,NA
ENSMUSG00000028521,chol1,9.120921199877674e-4,0.014334570180975418,0.06362884331183362,0.949405324819893,0.949405324819893,Slc35d1,NA,NA,NA,NA,NA,NA
ENSMUSG00000048486,chol1,7.651108637412219e-4,0.01206599986877607,0.06341048168922547,0.9495787202064437,0.9495787202064437,Fitm2,NA,NA,NA,NA,NA,NA
ENSMUSG00000029826,chol1,2.8682838905564814e-4,0.0045300392420698,0.06331697668133106,0.9496529708873581,0.9496529708873581,Zc3hav1,NA,NA,NA,NA,NA,NA
ENSMUSG00000026867,chol1,-2.7547155839825825e-4,0.004432290126033093,-0.062151066506290674,0.950578836743438,0.950578836743438,Gapvd1,chol1:sexM,-0.021565499839615667,0.008705882416201037,-2.477118206821147,0.015112718938253349,0.015112718938253349
ENSMUSG00000024811,chol1,3.3828806872156095e-4,0.0054492409443329245,0.06207985152012266,0.9506353917879162,0.9506353917879162,Tnks2,NA,NA,NA,NA,NA,NA
ENSMUSG00000034308,chol1,0.0017078110764517799,0.027564835827778886,0.06195614902704071,0.9507336301384873,0.9507336301384873,Sdr42e1,NA,NA,NA,NA,NA,NA
ENSMUSG00000009079,chol1,-4.483080515140527e-4,0.007267008264434364,-0.061690868539138403,0.9509443052360458,0.9509443052360458,Ewsr1,NA,NA,NA,NA,NA,NA
ENSMUSG00000039285,chol1,2.377682852013926e-4,0.003869033065507065,0.06145418795231499,0.9511322703846549,0.9511322703846549,Azi2,NA,NA,NA,NA,NA,NA
ENSMUSG00000028053,chol1,4.0212197481278206e-4,0.0066039367232505536,0.06089125194022934,0.9515793496159258,0.9515793496159258,Ash1l,NA,NA,NA,NA,NA,NA
ENSMUSG00000022961,chol1,-0.0012707609182449312,0.02097827905075433,-0.060575079355674674,0.9518304581309188,0.9518304581309188,Son,NA,NA,NA,NA,NA,NA
ENSMUSG00000032652,chol1,-4.3552445520002363e-4,0.0072407353153094225,-0.06014920256499006,0.9521687028809975,0.9521687028809975,Crebl2,chol1:sexM,-0.03457800293892712,0.014239987737036445,-2.4282326345684986,0.017161950481191058,0.017161950481191058
ENSMUSG00000021890,chol1,-2.456457973415648e-4,0.004092518599687641,-0.0600231352302989,0.952268831208771,0.952268831208771,Eaf1,NA,NA,NA,NA,NA,NA
ENSMUSG00000032310,chol1,-0.00775337300665796,0.12953441849781666,-0.0598556977872923,0.9524018187148247,0.9524018187148247,Cyp1a2,NA,NA,NA,NA,NA,NA
ENSMUSG00000030834,chol1,0.0026188751838093515,0.043806897453202015,0.0597822565865807,0.9524601499528419,0.9524601499528419,Abcc6,NA,NA,NA,NA,NA,NA
ENSMUSG00000028248,chol1,3.9264768832362974e-4,0.006601872092522506,0.05947520382413274,0.9527040317694041,0.9527040317694041,Pnisr,chol1:sexM,-0.026920327652774693,0.013098273132331185,-2.0552577718299196,0.04275223325367881,0.04275223325367881
ENSMUSG00000030286,chol1,2.6958721240174924e-4,0.004536845688908958,0.05942172841822638,0.9527465059702072,0.9527465059702072,Emc3,NA,NA,NA,NA,NA,NA
ENSMUSG00000026864,chol1,0.010780887729416253,0.18255329139935147,0.059056112583761124,0.9530369092920055,0.9530369092920055,Hspa5,NA,NA,NA,NA,NA,NA
ENSMUSG00000034994,chol1,0.008924254538708319,0.15115505270605684,0.059040398444786625,0.9530493909456339,0.9530493909456339,Eef2,NA,NA,NA,NA,NA,NA
ENSMUSG00000029036,chol1,3.971037842125613e-4,0.006816237662323663,0.05825850034653695,0.9536704629978263,0.9536704629978263,Atad3a,NA,NA,NA,NA,NA,NA
ENSMUSG00000096188,chol1,-5.567695952510124e-4,0.0096364380140626,-0.057777530913238895,0.9540525176440935,0.9540525176440935,Cmtm4,NA,NA,NA,NA,NA,NA
ENSMUSG00000033228,chol1,-3.5592919637993586e-4,0.00625947303382428,-0.05686248578060856,0.9547794067939107,0.9547794067939107,Scaf11,chol1:sexM,-0.029987947276167787,0.01230759580671835,-2.4365398203764754,0.016797128778465738,0.016797128778465738
ENSMUSG00000054545,chol1,0.0013666380164749838,0.024069546380481463,0.05677871925260799,0.9548459507650408,0.9548459507650408,Ugt1a6a,NA,NA,NA,NA,NA,NA
ENSMUSG00000020088,chol1,3.6360675906085057e-4,0.006424976605657936,0.05659269774471283,0.9549937270419964,0.9549937270419964,Sar1a,NA,NA,NA,NA,NA,NA
ENSMUSG00000034075,chol1,-3.961164247026279e-4,0.007037237965200065,-0.05628862156736326,0.9552352898347152,0.9552352898347152,Zdhhc5,chol1:sexM,-0.02813775998692917,0.013974659171899185,-2.013484525154626,0.04705071000139455,0.04705071000139455
ENSMUSG00000038656,chol1,0.004761388156043535,0.08559985014834176,0.05562379078692549,0.9557634561625802,0.9557634561625802,Cyp3a16,NA,NA,NA,NA,NA,NA
ENSMUSG00000039197,chol1,0.0033964375956376984,0.06179074918373841,0.054966765098416144,0.9562854412354592,0.9562854412354592,Adk,chol1:sexM,-0.37977759713751363,0.1188789143867819,-3.1946590284453418,0.0019305333204042783,0.0019305333204042783
