ENSEMBL.ID,term,estimate,std.error,statistic,p.value,p.adj,symbol
ENSMUSG00000087579,chol2:sexM,-0.14050472704913258,0.03804757603718169,-3.6928693410540916,3.8204159055335655e-4,3.8204159055335655e-4,Hectd2os
ENSMUSG00000060407,chol2:sexM,-0.7631900776600243,0.22183281251515438,-3.440384084784064,8.863622102686799e-4,8.863622102686799e-4,Cyp2a12
ENSMUSG00000018102,chol2:sexM,-0.08361048375649997,0.02434085332697484,-3.434985726808591,9.02079793095467e-4,9.02079793095467e-4,H2bc4
ENSMUSG00000022010,chol2:sexM,-0.30379724265104946,0.09131707630357015,-3.326839348657203,0.0012780121867977752,0.0012780121867977752,Tsc22d1
ENSMUSG00000006529,chol2:sexM,-0.6703634454320542,0.21102050530979763,-3.176769217038404,0.002047451068890595,0.002047451068890595,Itih1
ENSMUSG00000026405,chol2:sexM,-0.45026550284957056,0.14870351086925443,-3.027941305605491,0.00322107316632367,0.00322107316632367,C4bp
ENSMUSG00000037780,chol2:sexM,-0.11867912129924824,0.03922477791520822,-3.025616143851614,0.0032435840705465494,0.0032435840705465494,Mbl1
ENSMUSG00000035540,chol2:sexM,-2.9595336711485927,0.9829710500118634,-3.010804510583373,0.0033904376125815042,0.0033904376125815042,Gc
ENSMUSG00000038521,chol2:sexM,-0.32639680297762114,0.11217189481203456,-2.909791294196834,0.0045679164639740285,0.0045679164639740285,C1s1
ENSMUSG00000030695,chol2:sexM,0.034346805106764494,0.012324785446391026,2.7868075477794227,0.006505980829164779,0.006505980829164779,Aldoa
ENSMUSG00000038776,chol2:sexM,-0.4298596205303409,0.15480048610879574,-2.7768622136511256,0.006691722113723658,0.006691722113723658,Ephx1
ENSMUSG00000057069,chol2:sexM,-0.06489097070516406,0.023731309867780364,-2.7344032447726594,0.007540455541634138,0.007540455541634138,Ero1b
ENSMUSG00000081406,chol2:sexM,-0.3710791948916529,0.1407044089262006,-2.6372961424846597,0.009862031068614791,0.009862031068614791,Rps6-ps4
ENSMUSG00000021282,chol2:sexM,-0.09219263809276267,0.03512492069304843,-2.6247073665566596,0.010206313063274493,0.010206313063274493,Eif5
ENSMUSG00000024863,chol2:sexM,-0.3551612983097328,0.1356929941806475,-2.617388616518463,0.010411434773406055,0.010411434773406055,Mbl2
ENSMUSG00000021185,chol2:sexM,-0.04575705585990399,0.017516977735239848,-2.6121547079352654,0.010560404636678839,0.010560404636678839,Dglucy
ENSMUSG00000024164,chol2:sexM,-6.044314256057925,2.3200503469260347,-2.605251331750786,0.010759839456777087,0.010759839456777087,C3
ENSMUSG00000027397,chol2:sexM,0.040357294367687854,0.01549807034566123,2.6040205953114737,0.0107957503173652,0.0107957503173652,Slc20a1
ENSMUSG00000028327,chol2:sexM,-0.10474647564449308,0.04055561874752836,-2.58278578602322,0.011432645203666075,0.011432645203666075,Stra6l
ENSMUSG00000068083,chol2:sexM,-0.18662591123682146,0.07264426137429889,-2.5690385958394315,0.011862851529625771,0.011862851529625771,Cyp2d40
ENSMUSG00000020609,chol2:sexM,-4.741101063835018,1.8456972516385386,-2.568731713516966,0.011872619552543895,0.011872619552543895,Apob
ENSMUSG00000022817,chol2:sexM,-0.05771719007454663,0.022527657666745343,-2.5620590888038497,0.012086809316139648,0.012086809316139648,Itgb5
ENSMUSG00000090231,chol2:sexM,-0.7190028269503274,0.281949541899754,-2.550111704760158,0.012479034351556976,0.012479034351556976,Cfb
ENSMUSG00000045672,chol2:sexM,-0.09911610117893158,0.039022225710460275,-2.5399909762800275,0.012820218133015468,0.012820218133015468,Col27a1
ENSMUSG00000051154,chol2:sexM,-0.020139494534605198,0.00796502272772647,-2.5284917850264317,0.013218039954572986,0.013218039954572986,Commd3
ENSMUSG00000021364,chol2:sexM,0.6125872625957562,0.24241425590650661,2.5270265575140782,0.01326951969467711,0.01326951969467711,Elovl2
ENSMUSG00000028495,chol2:sexM,0.34832092321987784,0.13807394795224895,2.5227128534076537,0.013422126678375921,0.013422126678375921,Rps6
ENSMUSG00000035941,chol2:sexM,0.039061735472152186,0.015959758843365517,2.4475141420066118,0.016348095037638226,0.016348095037638226,Ibtk
ENSMUSG00000028655,chol2:sexM,0.18178388696150943,0.07443972417697811,2.442027949073588,0.01658237401378357,0.01658237401378357,Mfsd2a
ENSMUSG00000070704,chol2:sexM,-0.31779377354186894,0.13048053312692096,-2.435564646511252,0.016862222215439857,0.016862222215439857,Ugt2b36
ENSMUSG00000023175,chol2:sexM,-0.13237464053235368,0.054765419986762265,-2.4171208869456473,0.017684117529915715,0.017684117529915715,Bsg
ENSMUSG00000067144,chol2:sexM,-0.116591908605664,0.04868938205204954,-2.394606456106299,0.018735675791802023,0.018735675791802023,Slc22a7
ENSMUSG00000062410,chol2:sexM,-0.20539441148679816,0.08627067844433299,-2.3808136807377833,0.019407025270624635,0.019407025270624635,Hsd3b3
ENSMUSG00000063229,chol2:sexM,-0.39746952318374995,0.1676321738033988,-2.371081363234646,0.01989351367433725,0.01989351367433725,Ldha
ENSMUSG00000052459,chol2:sexM,-0.021486637116752933,0.009083673024571885,-2.3654128741347558,0.020181826308705946,0.020181826308705946,Atp6v1a
ENSMUSG00000006522,chol2:sexM,-1.2963532615331992,0.5491225959325248,-2.3607720227424274,0.02042062490487133,0.02042062490487133,Itih3
ENSMUSG00000054630,chol2:sexM,-0.43773549514495885,0.18606425640393703,-2.3526038993467666,0.020847014462246218,0.020847014462246218,Ugt2b5
